
@00003000: $ 8 <= 00000000
@00003004: *00000190 <= 00000000
@0000418c: $15 <= 000031b8
@000031b8: $14 <= 00001926
@000031bc: $30 <= 000031c4
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 000031bc
@0000418c: $15 <= 000031c4
@000031c4: $14 <= 00001926
@000031c8: $30 <= 000031d0
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 000031c8
@0000418c: $15 <= 000031d0
@000031d0: $14 <= 00001926
@000031d4: $30 <= 000031dc
@000031d8: *00000010 <= 00007f0f
@00004180: $15 <= 00000002
@00004184: $15 <= 00000010
@00004188: $15 <= 00001924
@0000418c: $15 <= 000031dc
@000031dc: $ 8 <= 00007f0e
@000031e0: $14 <= 00001926
@000031e4: $30 <= 000031ec
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 000031e4
@0000418c: $15 <= 000031ec
@000031ec: $14 <= 00001926
@000031f0: $30 <= 000031f8
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 000031f0
@0000418c: $15 <= 000031f8
@000031f8: $14 <= 00001926
@000031fc: $30 <= 00003204
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 000031fc
@0000418c: $15 <= 00003204
@00003204: $14 <= 00001926
@00003208: $30 <= 00003210
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 00003208
@0000418c: $15 <= 00003210
@00003210: $14 <= 00001926
@00003214: $30 <= 0000321c
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 00003214
@0000418c: $15 <= 0000321c
@0000321c: $14 <= 00001926
@00003220: $30 <= 00003228
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 00003220
@0000418c: $15 <= 00003228
@00003228: $14 <= 00001926
@0000322c: $30 <= 00003234
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 0000322c
@0000418c: $15 <= 00003234
@00003234: $14 <= 00001926
@00003238: $30 <= 00003240
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 00003238
@0000418c: $15 <= 00003240
@00003240: $14 <= 00001926
@00003244: $30 <= 0000324c
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 00003244
@0000418c: $15 <= 0000324c
@0000324c: $14 <= 00001926
@00003250: $30 <= 00003258
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 00003250
@0000418c: $15 <= 00003258
@00003258: $14 <= 00001926
@0000325c: $30 <= 00003264
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 0000325c
@0000418c: $15 <= 00003264
@00003264: $14 <= 00001926
@00003268: $30 <= 00003270
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 00003268
@0000418c: $15 <= 00003270
@00003270: $14 <= 00001926
@00003274: $30 <= 0000327c
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 00003274
@0000418c: $15 <= 0000327c
@0000327c: $14 <= 00001926
@00003280: $30 <= 00003288
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 00003280
@0000418c: $15 <= 00003288
@00003288: $14 <= 00001926
@0000328c: $30 <= 00003294
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 0000328c
@0000418c: $15 <= 00003294
@00003294: $14 <= 00001926
@00003298: $30 <= 000032a0
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 00003298
@0000418c: $15 <= 000032a0
@000032a0: $14 <= 00001926
@000032a4: $30 <= 000032ac
@000032a8: *00000000 <= 00007f0e
@00004180: $15 <= 00000002
@00004184: $15 <= 00000010
@00004188: $15 <= 00001924
@0000418c: $15 <= 000032ac
@000032ac: $14 <= 00001926
@000032b0: $30 <= 000032b8
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 000032b0
@0000418c: $15 <= 000032b8
@000032b8: $14 <= 00001926
@000032bc: $30 <= 000032c4
@000032c0: *00000000 <= 7f0e7f0e
@00004180: $15 <= 00000002
@00004184: $15 <= 00000010
@00004188: $15 <= 00001924
@0000418c: $15 <= 000032c4
@000032c4: $14 <= 00001926
@000032c8: $30 <= 000032d0
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 000032c8
@0000418c: $15 <= 000032d0
@000032d0: $14 <= 00001926
@000032d4: $30 <= 000032dc
@000032d8: *00000004 <= 00007f0e
@00004180: $15 <= 00000002
@00004184: $15 <= 00000010
@00004188: $15 <= 00001924
@0000418c: $15 <= 000032dc
@000032dc: $14 <= 00001926
@000032e0: $30 <= 000032e8
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 000032e0
@0000418c: $15 <= 000032e8
@000032e8: $14 <= 00001926
@000032ec: $30 <= 000032f4
@000032f0: *00000004 <= 7f0e7f0e
@00004180: $15 <= 00000002
@00004184: $15 <= 00000010
@00004188: $15 <= 00001924
@0000418c: $15 <= 000032f4
@000032f4: $14 <= 00001926
@000032f8: $30 <= 00003300
@00004180: $15 <= 00000002
@00004184: $15 <= 80000014
@00004188: $15 <= 000032f8
@0000418c: $15 <= 00003300
@00003300: $14 <= 00001926
@00003304: $30 <= 0000330c
@00003308: *00000008 <= 00007f0e
@00004180: $15 <= 00000002
@00004184: $15 <= 00000010
@00004188: $15 <= 00001924
@0000418c: $15 <= 0000330c
@0000330c: $14 <= 00001926
@00003310: $30 <= 00003318
